2018-12-29-00-34-20  Notice   beforeswitch source
2018-12-29-00-34-23  Notice   6850c975-60c1-44e8-a872-0739a77d811a
2018-12-29-00-34-24  Notice   Sennweg 22
2018-12-29-00-34-24  Notice   False
2018-12-29-00-34-24  Notice   False
2018-12-29-00-34-25  Notice   False
2018-12-29-00-34-25  Notice   False
2018-12-29-00-34-30  Notice   24dc460c-ffb7-4ab1-b2e1-0e3113d2aad5
2018-12-29-00-34-30  Notice   Teststrasse 77
2018-12-29-00-34-31  Notice   False
2018-12-29-00-34-31  Notice   False
2018-12-29-00-34-31  Notice   False
2018-12-29-00-34-32  Notice   False
2018-12-29-00-34-36  Notice   beforeswitch target
2018-12-29-00-34-37  Notice   6850c975-60c1-44e8-a872-0739a77d811a
2018-12-29-00-34-38  Notice   Sennweg 22
2018-12-29-00-34-38  Notice   False
2018-12-29-00-34-38  Notice   False
2018-12-29-00-34-38  Notice   False
2018-12-29-00-34-38  Notice   False
2018-12-29-00-34-41  Notice   24dc460c-ffb7-4ab1-b2e1-0e3113d2aad5
2018-12-29-00-34-41  Notice   Teststrasse 77
2018-12-29-00-34-41  Notice   False
2018-12-29-00-34-41  Notice   False
2018-12-29-00-34-41  Notice   False
2018-12-29-00-34-41  Notice   False
2018-12-29-00-34-48  Notice   preswitch
2018-12-29-00-34-48  Notice   Teststrasse 77, 1337 Root, Schweiz : Sarah Cook
2018-12-29-00-34-48  Notice   Sennweg 22, 7500 St. Moritz, Schweiz : Sarah Cook
2018-12-29-00-34-48  Notice   postswitch
2018-12-29-00-34-48  Notice   Teststrasse 77, 1337 Root, Schweiz : Sarah Cook
2018-12-29-00-34-48  Notice   Sennweg 22, 7500 St. Moritz, Schweiz : Sarah Cook
2018-12-29-00-34-48  Notice   afterswitch
2018-12-29-00-34-48  Notice   Sennweg 22, 7500 St. Moritz, Schweiz : Sarah Cook
2018-12-29-00-34-48  Notice   Teststrasse 77, 1337 Root, Schweiz : Sarah Cook
